customer_id,customer_unique_id,customer_city,customer_state,customer_segment
C00001,U00001,Dhaka,DHA,new
C00002,U00002,Chittagong,CTG,new
C00003,U00003,Sylhet,SYL,new
C00004,U00004,Khulna,KHU,new
C00005,U00005,Rajshahi,RAJ,new
C00006,U00006,Barisal,BAR,new
C00007,U00007,Dhaka,DHA,new
C00008,U00008,Rangpur,RAN,new
C00009,U00009,Comilla,COM,new
C00010,U00010,Narayanganj,NAR,new
C00011,U00011,Chittagong,CTG,new
C00012,U00012,Gazipur,GAZ,new
C00013,U00013,Mymensingh,MYM,new
C00014,U00014,Bogura,BOG,new
C00015,U00015,Tangail,TAN,new
C00016,U00016,Cox's Bazar,COX,new
C00017,U00017,Faridpur,FAR,new
C00018,U00018,Jessore,JES,new
C00019,U00019,Pabna,PAB,new
C00020,U00020,Noakhali,NOA,new
C00021,U00021,Dhaka,DHA,new
C00022,U00022,Chandpur,CHA,new
C00023,U00023,Brahmanbaria,BRA,new
C00024,U00024,Savar,SAV,new
C00025,U00025,Munshiganj,MUN,new
C00026,U00026,Manikganj,MAN,new
C00027,U00027,Narsingdi,NAR,new
C00028,U00028,Dinajpur,DIN,new
C00029,U00029,Thakurgaon,THK,new
C00030,U00030,Dhaka,DHA,returning
C00031,U00031,Habiganj,HAB,returning
C00032,U00032,Kishoreganj,KIS,returning
C00033,U00033,Chittagong,CTG,returning
C00034,U00034,Moulvibazar,MOU,returning
C00035,U00035,Sunamganj,SUN,returning
C00036,U00036,Netrokona,NET,returning
C00037,U00037,Dhaka,DHA,returning
C00038,U00038,Sherpur,SHE,returning
C00039,U00039,Jamalpur,JAM,returning
C00040,U00040,Magura,MAG,returning
C00041,U00041,Meherpur,MEH,returning
C00042,U00042,Natore,NAT,returning
C00043,U00043,Naogaon,NAO,returning
C00044,U00044,Chittagong,CTG,returning
C00045,U00045,Chapainawabganj,CHA,returning
C00046,U00046,Joypurhat,JOY,returning
C00047,U00047,Dhaka,DHA,returning
C00048,U00048,Sylhet,SYL,returning
C00049,U00049,Khulna,KHU,returning
C00050,U00050,Rajshahi,RAJ,returning
C00051,U00051,Barisal,BAR,returning
C00052,U00052,Rangpur,RAN,returning
C00053,U00053,Comilla,COM,returning
C00054,U00054,Narayanganj,NAR,returning
C00055,U00055,Chittagong,CTG,returning
C00056,U00056,Gazipur,GAZ,returning
C00057,U00057,Mymensingh,MYM,returning
C00058,U00058,Bogura,BOG,returning
C00059,U00059,Tangail,TAN,returning
C00060,U00060,Cox's Bazar,COX,returning
C00061,U00061,Dhaka,DHA,returning
C00062,U00062,Faridpur,FAR,returning
C00063,U00063,Jessore,JES,returning
C00064,U00064,Pabna,PAB,returning
C00065,U00065,Noakhali,NOA,returning
C00066,U00066,Chandpur,CHA,returning
C00067,U00067,Brahmanbaria,BRA,returning
C00068,U00068,Savar,SAV,returning
C00069,U00069,Munshiganj,MUN,returning
C00070,U00070,Manikganj,MAN,returning
C00071,U00071,Dhaka,DHA,returning
C00072,U00072,Narsingdi,NAR,returning
C00073,U00073,Dinajpur,DIN,returning
C00074,U00074,Thakurgaon,THK,returning
C00075,U00075,Sherpur,SHE,returning
C00076,U00076,Habiganj,HAB,high_value
C00077,U00077,Kishoreganj,KIS,high_value
C00078,U00078,Chittagong,CTG,high_value
C00079,U00079,Moulvibazar,MOU,high_value
C00080,U00080,Sunamganj,SUN,high_value
C00081,U00081,Netrokona,NET,high_value
C00082,U00082,Dhaka,DHA,high_value
C00083,U00083,Sherpur,SHE,high_value
C00084,U00084,Jamalpur,JAM,high_value
C00085,U00085,Magura,MAG,high_value
C00086,U00086,Meherpur,MEH,high_value
C00087,U00087,Dhaka,DHA,high_value
C00088,U00088,Natore,NAT,high_value
C00089,U00089,Naogaon,NAO,high_value
C00090,U00090,Chittagong,CTG,inactive
C00091,U00091,Chapainawabganj,CHA,inactive
C00092,U00092,Joypurhat,JOY,inactive
C00093,U00093,Dhaka,DHA,inactive
C00094,U00094,Sylhet,SYL,inactive
C00095,U00095,Khulna,KHU,inactive
C00096,U00096,Rajshahi,RAJ,inactive
C00097,U00097,Barisal,BAR,inactive
C00098,U00098,Rangpur,RAN,inactive
C00099,U00099,Comilla,COM,inactive
C00100,U00100,Narayanganj,NAR,inactive
C00101,U00101,Dhaka,DHA,new
C00102,U00102,Chittagong,CTG,new
C00103,U00103,Gazipur,GAZ,new
C00104,U00104,Mymensingh,MYM,new
C00105,U00105,Bogura,BOG,new
C00106,U00106,Tangail,TAN,new
C00107,U00107,Dhaka,DHA,new
C00108,U00108,Cox's Bazar,COX,new
C00109,U00109,Faridpur,FAR,new
C00110,U00110,Jessore,JES,new
C00111,U00111,Chittagong,CTG,new
C00112,U00112,Pabna,PAB,new
C00113,U00113,Noakhali,NOA,new
C00114,U00114,Chandpur,CHA,new
C00115,U00115,Brahmanbaria,BRA,new
C00116,U00116,Savar,SAV,new
C00117,U00117,Munshiganj,MUN,new
C00118,U00118,Dhaka,DHA,new
C00119,U00119,Manikganj,MAN,new
C00120,U00120,Narsingdi,NAR,new
C00121,U00121,Dinajpur,DIN,new
C00122,U00122,Thakurgaon,THK,new
C00123,U00123,Habiganj,HAB,new
C00124,U00124,Kishoreganj,KIS,new
C00125,U00125,Moulvibazar,MOU,new
C00126,U00126,Dhaka,DHA,new
C00127,U00127,Sunamganj,SUN,new
C00128,U00128,Netrokona,NET,new
C00129,U00129,Sherpur,SHE,new
C00130,U00130,Jamalpur,JAM,returning
C00131,U00131,Magura,MAG,returning
C00132,U00132,Meherpur,MEH,returning
C00133,U00133,Chittagong,CTG,returning
C00134,U00134,Natore,NAT,returning
C00135,U00135,Naogaon,NAO,returning
C00136,U00136,Chapainawabganj,CHA,returning
C00137,U00137,Joypurhat,JOY,returning
C00138,U00138,Dhaka,DHA,returning
C00139,U00139,Sylhet,SYL,returning
C00140,U00140,Khulna,KHU,returning
C00141,U00141,Rajshahi,RAJ,returning
C00142,U00142,Barisal,BAR,returning
C00143,U00143,Chittagong,CTG,returning
C00144,U00144,Rangpur,RAN,returning
C00145,U00145,Comilla,COM,returning
C00146,U00146,Narayanganj,NAR,returning
C00147,U00147,Gazipur,GAZ,returning
C00148,U00148,Mymensingh,MYM,returning
C00149,U00149,Dhaka,DHA,returning
C00150,U00150,Bogura,BOG,returning
C00151,U00151,Tangail,TAN,returning
C00152,U00152,Cox's Bazar,COX,returning
C00153,U00153,Faridpur,FAR,returning
C00154,U00154,Jessore,JES,returning
C00155,U00155,Chittagong,CTG,returning
C00156,U00156,Pabna,PAB,returning
C00157,U00157,Noakhali,NOA,returning
C00158,U00158,Chandpur,CHA,returning
C00159,U00159,Brahmanbaria,BRA,returning
C00160,U00160,Savar,SAV,returning
C00161,U00161,Dhaka,DHA,returning
C00162,U00162,Munshiganj,MUN,returning
C00163,U00163,Manikganj,MAN,returning
C00164,U00164,Narsingdi,NAR,returning
C00165,U00165,Dinajpur,DIN,returning
C00166,U00166,Thakurgaon,THK,returning
C00167,U00167,Habiganj,HAB,returning
C00168,U00168,Dhaka,DHA,returning
C00169,U00169,Kishoreganj,KIS,returning
C00170,U00170,Moulvibazar,MOU,returning
C00171,U00171,Sunamganj,SUN,returning
C00172,U00172,Netrokona,NET,returning
C00173,U00173,Sherpur,SHE,returning
C00174,U00174,Chittagong,CTG,returning
C00175,U00175,Jamalpur,JAM,high_value
C00176,U00176,Magura,MAG,high_value
C00177,U00177,Meherpur,MEH,high_value
C00178,U00178,Natore,NAT,high_value
C00179,U00179,Naogaon,NAO,high_value
C00180,U00180,Chapainawabganj,CHA,high_value
C00181,U00181,Dhaka,DHA,high_value
C00182,U00182,Joypurhat,JOY,high_value
C00183,U00183,Sylhet,SYL,high_value
C00184,U00184,Khulna,KHU,high_value
C00185,U00185,Rajshahi,RAJ,high_value
C00186,U00186,Chittagong,CTG,high_value
C00187,U00187,Barisal,BAR,high_value
C00188,U00188,Rangpur,RAN,high_value
C00189,U00189,Comilla,COM,high_value
C00190,U00190,Narayanganj,NAR,inactive
C00191,U00191,Gazipur,GAZ,inactive
C00192,U00192,Mymensingh,MYM,inactive
C00193,U00193,Dhaka,DHA,inactive
C00194,U00194,Bogura,BOG,inactive
C00195,U00195,Tangail,TAN,inactive
C00196,U00196,Cox's Bazar,COX,inactive
C00197,U00197,Faridpur,FAR,inactive
C00198,U00198,Jessore,JES,inactive
C00199,U00199,Pabna,PAB,inactive
C00200,U00200,Noakhali,NOA,inactive
C00201,U00201,Dhaka,DHA,new
C00202,U00202,Chandpur,CHA,new
C00203,U00203,Brahmanbaria,BRA,new
C00204,U00204,Savar,SAV,new
C00205,U00205,Munshiganj,MUN,new
C00206,U00206,Manikganj,MAN,new
C00207,U00207,Dhaka,DHA,new
C00208,U00208,Narsingdi,NAR,new
C00209,U00209,Dinajpur,DIN,new
C00210,U00210,Thakurgaon,THK,new
C00211,U00211,Chittagong,CTG,new
C00212,U00212,Habiganj,HAB,new
C00213,U00213,Kishoreganj,KIS,new
C00214,U00214,Moulvibazar,MOU,new
C00215,U00215,Sunamganj,SUN,new
C00216,U00216,Netrokona,NET,new
C00217,U00217,Dhaka,DHA,new
C00218,U00218,Sherpur,SHE,new
C00219,U00219,Jamalpur,JAM,new
C00220,U00220,Magura,MAG,new
C00221,U00221,Meherpur,MEH,new
C00222,U00222,Natore,NAT,new
C00223,U00223,Dhaka,DHA,new
C00224,U00224,Naogaon,NAO,new
C00225,U00225,Chapainawabganj,CHA,new
C00226,U00226,Joypurhat,JOY,new
C00227,U00227,Sylhet,SYL,new
C00228,U00228,Khulna,KHU,new
C00229,U00229,Rajshahi,RAJ,new
C00230,U00230,Chittagong,CTG,returning
C00231,U00231,Barisal,BAR,returning
C00232,U00232,Rangpur,RAN,returning
C00233,U00233,Comilla,COM,returning
C00234,U00234,Narayanganj,NAR,returning
C00235,U00235,Gazipur,GAZ,returning
C00236,U00236,Mymensingh,MYM,returning
C00237,U00237,Dhaka,DHA,returning
C00238,U00238,Bogura,BOG,returning
C00239,U00239,Tangail,TAN,returning
C00240,U00240,Cox's Bazar,COX,returning
C00241,U00241,Chittagong,CTG,returning
C00242,U00242,Faridpur,FAR,returning
C00243,U00243,Jessore,JES,returning
C00244,U00244,Pabna,PAB,returning
C00245,U00245,Noakhali,NOA,returning
C00246,U00246,Chandpur,CHA,returning
C00247,U00247,Brahmanbaria,BRA,returning
C00248,U00248,Savar,SAV,returning
C00249,U00249,Dhaka,DHA,returning
C00250,U00250,Munshiganj,MUN,returning
C00251,U00251,Manikganj,MAN,returning
C00252,U00252,Narsingdi,NAR,returning
C00253,U00253,Dinajpur,DIN,returning
C00254,U00254,Thakurgaon,THK,returning
C00255,U00255,Habiganj,HAB,returning
C00256,U00256,Chittagong,CTG,returning
C00257,U00257,Kishoreganj,KIS,returning
C00258,U00258,Moulvibazar,MOU,returning
C00259,U00259,Sunamganj,SUN,returning
C00260,U00260,Netrokona,NET,returning
C00261,U00261,Dhaka,DHA,returning
C00262,U00262,Sherpur,SHE,returning
C00263,U00263,Jamalpur,JAM,returning
C00264,U00264,Magura,MAG,returning
C00265,U00265,Meherpur,MEH,returning
C00266,U00266,Natore,NAT,returning
C00267,U00267,Naogaon,NAO,returning
C00268,U00268,Dhaka,DHA,returning
C00269,U00269,Chapainawabganj,CHA,returning
C00270,U00270,Joypurhat,JOY,returning
C00271,U00271,Sylhet,SYL,returning
C00272,U00272,Khulna,KHU,returning
C00273,U00273,Rajshahi,RAJ,returning
C00274,U00274,Chittagong,CTG,returning
C00275,U00275,Barisal,BAR,high_value
C00276,U00276,Rangpur,RAN,high_value
C00277,U00277,Comilla,COM,high_value
C00278,U00278,Narayanganj,NAR,high_value
C00279,U00279,Gazipur,GAZ,high_value
C00280,U00280,Mymensingh,MYM,high_value
C00281,U00281,Dhaka,DHA,high_value
C00282,U00282,Bogura,BOG,high_value
C00283,U00283,Tangail,TAN,high_value
C00284,U00284,Cox's Bazar,COX,high_value
C00285,U00285,Chittagong,CTG,high_value
C00286,U00286,Faridpur,FAR,high_value
C00287,U00287,Jessore,JES,high_value
C00288,U00288,Pabna,PAB,high_value
C00289,U00289,Noakhali,NOA,high_value
C00290,U00290,Chandpur,CHA,inactive
C00291,U00291,Brahmanbaria,BRA,inactive
C00292,U00292,Savar,SAV,inactive
C00293,U00293,Munshiganj,MUN,inactive
C00294,U00294,Dhaka,DHA,inactive
C00295,U00295,Manikganj,MAN,inactive
C00296,U00296,Narsingdi,NAR,inactive
C00297,U00297,Dinajpur,DIN,inactive
C00298,U00298,Thakurgaon,THK,inactive
C00299,U00299,Habiganj,HAB,inactive
C00300,U00300,Chittagong,CTG,inactive
C00301,U00301,Dhaka,DHA,new
C00302,U00302,Kishoreganj,KIS,new
C00303,U00303,Moulvibazar,MOU,new
C00304,U00304,Sunamganj,SUN,new
C00305,U00305,Netrokona,NET,new
C00306,U00306,Sherpur,SHE,new
C00307,U00307,Dhaka,DHA,new
C00308,U00308,Jamalpur,JAM,new
C00309,U00309,Magura,MAG,new
C00310,U00310,Meherpur,MEH,new
C00311,U00311,Chittagong,CTG,new
C00312,U00312,Natore,NAT,new
C00313,U00313,Naogaon,NAO,new
C00314,U00314,Chapainawabganj,CHA,new
C00315,U00315,Joypurhat,JOY,new
C00316,U00316,Dhaka,DHA,new
C00317,U00317,Sylhet,SYL,new
C00318,U00318,Khulna,KHU,new
C00319,U00319,Rajshahi,RAJ,new
C00320,U00320,Barisal,BAR,new
C00321,U00321,Rangpur,RAN,new
C00322,U00322,Dhaka,DHA,new
C00323,U00323,Comilla,COM,new
C00324,U00324,Narayanganj,NAR,new
C00325,U00325,Gazipur,GAZ,new
C00326,U00326,Mymensingh,MYM,new
C00327,U00327,Bogura,BOG,new
C00328,U00328,Chittagong,CTG,new
C00329,U00329,Tangail,TAN,new
C00330,U00330,Cox's Bazar,COX,returning
C00331,U00331,Faridpur,FAR,returning
C00332,U00332,Jessore,JES,returning
C00333,U00333,Pabna,PAB,returning
C00334,U00334,Noakhali,NOA,returning
C00335,U00335,Chandpur,CHA,returning
C00336,U00336,Brahmanbaria,BRA,returning
C00337,U00337,Dhaka,DHA,returning
C00338,U00338,Savar,SAV,returning
C00339,U00339,Munshiganj,MUN,returning
C00340,U00340,Manikganj,MAN,returning
C00341,U00341,Narsingdi,NAR,returning
C00342,U00342,Dinajpur,DIN,returning
C00343,U00343,Thakurgaon,THK,returning
