product_id,supplier_id,current_stock,reorder_point,average_daily_units,lead_time_days,unit_cost_bdt,stock_status
P0001,SUP005,90,211,15.07,13,871.60,at_risk
P0002,SUP007,49,99,16.58,15,694.10,at_risk
P0003,SUP001,281,187,15.63,16,967.40,healthy
P0004,SUP010,305,55,3.97,6,3938.40,healthy
P0005,SUP009,66,97,10.78,14,4747.30,at_risk
P0006,SUP010,350,70,5.86,18,1127.60,healthy
P0007,SUP010,88,84,6.04,15,491.30,healthy
P0008,SUP001,184,129,16.18,18,3286.50,healthy
P0009,SUP005,25,163,16.3,12,2717.60,at_risk
P0010,SUP004,371,57,9.61,7,2927.90,healthy
P0011,SUP005,411,137,13.77,16,2074.00,healthy
P0012,SUP007,241,23,2.97,18,1332.90,healthy
P0013,SUP009,435,79,15.81,8,2067.90,healthy
P0014,SUP009,221,92,13.21,3,3972.70,healthy
P0015,SUP004,117,79,15.94,4,3849.00,healthy
P0016,SUP005,375,133,16.65,14,4997.80,healthy
P0017,SUP011,340,59,9.83,3,3724.00,healthy
P0018,SUP008,243,66,9.56,14,3360.30,healthy
P0019,SUP005,147,91,15.32,3,1145.60,healthy
P0020,SUP004,307,33,4.19,10,4592.50,healthy
P0021,SUP001,224,77,5.94,3,487.90,healthy
P0022,SUP001,103,51,3.68,10,3651.20,healthy
P0023,SUP007,171,133,14.78,15,4467.70,healthy
P0024,SUP005,126,108,9.07,15,2409.80,healthy
P0025,SUP009,354,16,1.62,12,3793.40,healthy
P0026,SUP005,47,32,3.28,13,2305.00,healthy
P0027,SUP004,379,52,5.81,7,1720.90,healthy
P0028,SUP007,44,76,5.46,13,1436.70,at_risk
P0029,SUP005,350,160,13.4,11,4844.90,healthy
P0030,SUP010,392,40,8.18,9,886.80,healthy
P0031,SUP011,366,172,13.27,18,4132.60,healthy
P0032,SUP003,274,113,12.59,8,1992.10,healthy
P0033,SUP012,394,83,9.27,8,613.80,healthy
P0034,SUP004,350,98,16.34,14,199.00,healthy
P0035,SUP006,230,158,15.88,11,552.50,healthy
P0036,SUP001,75,109,9.15,5,2665.00,at_risk
P0037,SUP009,76,51,4.71,12,1034.50,healthy
P0038,SUP004,92,111,15.87,13,2255.90,at_risk
P0039,SUP006,249,76,10.9,8,2036.40,healthy
P0040,SUP006,338,66,9.55,4,1688.30,healthy
P0041,SUP010,404,42,6.01,8,4238.60,healthy
P0042,SUP010,60,98,14.1,16,3455.90,at_risk
P0043,SUP001,259,89,8.16,4,2499.20,healthy
P0044,SUP009,22,135,13.56,9,156.40,at_risk
P0045,SUP004,390,12,1.57,14,3095.70,healthy
P0046,SUP005,272,44,3.19,8,3624.40,healthy
P0047,SUP012,163,27,2.25,13,2330.10,healthy
P0048,SUP008,83,128,12.83,14,4701.30,at_risk
P0049,SUP001,430,46,4.22,10,1774.10,healthy
P0050,SUP010,123,88,17.75,8,2608.10,healthy
P0051,SUP007,420,66,13.23,11,4030.10,healthy
P0052,SUP011,319,58,11.78,6,3456.60,healthy
P0053,SUP007,368,10,1.83,17,2890.60,healthy
P0054,SUP004,257,73,10.53,3,1281.70,healthy
P0055,SUP005,354,161,12.42,7,892.50,healthy
P0056,SUP002,276,228,16.33,12,1267.20,healthy
P0057,SUP004,116,45,3.25,11,4284.90,healthy
P0058,SUP005,198,193,17.56,8,2676.60,healthy
P0059,SUP006,121,116,9.69,10,3252.30,healthy
P0060,SUP011,71,176,12.58,18,329.60,at_risk
P0061,SUP012,276,17,2.99,6,4419.00,healthy
P0062,SUP005,248,109,12.13,17,3357.10,healthy
P0063,SUP006,35,134,14.92,13,2110.60,at_risk
P0064,SUP001,450,17,3.41,7,4751.60,healthy
P0065,SUP010,198,51,4.31,11,4585.10,healthy
P0066,SUP003,432,30,3.03,6,4487.20,healthy
P0067,SUP012,154,191,17.38,18,5203.60,at_risk
P0068,SUP002,423,85,12.21,7,774.10,healthy
P0069,SUP002,447,17,2.47,16,2218.60,healthy
P0070,SUP003,306,113,9.46,15,2351.90,healthy
P0071,SUP008,365,81,11.59,18,2043.20,healthy
P0072,SUP005,38,49,8.29,13,2153.20,at_risk
P0073,SUP012,283,221,15.83,10,2259.50,healthy
P0074,SUP009,188,163,12.55,6,1918.60,healthy
P0075,SUP011,261,134,13.49,15,169.00,healthy
P0076,SUP001,328,75,15.14,8,4490.10,healthy
P0077,SUP002,268,64,9.24,18,1481.80,healthy
P0078,SUP009,157,34,6.96,10,2848.80,healthy
P0079,SUP002,433,61,7.75,17,3567.00,healthy
P0080,SUP008,60,131,10.96,13,1287.80,at_risk
P0081,SUP002,349,48,9.71,15,1618.20,healthy
P0082,SUP010,15,64,10.69,12,2890.00,at_risk
P0083,SUP006,350,129,10.78,14,3677.40,healthy
P0084,SUP006,447,179,14.97,18,1384.80,healthy
P0085,SUP002,246,44,7.49,10,3520.50,healthy
P0086,SUP009,339,66,7.36,14,1220.00,healthy
P0087,SUP003,99,27,2.26,16,2575.50,healthy
P0088,SUP007,111,69,11.58,9,3846.00,healthy
P0089,SUP002,381,143,14.39,16,3396.70,healthy
P0090,SUP002,359,167,11.95,17,3226.70,healthy
P0091,SUP008,273,78,11.22,3,4412.80,healthy
P0092,SUP008,236,32,2.3,8,4625.80,healthy
P0093,SUP002,432,30,4.37,15,1611.10,healthy
P0094,SUP007,179,149,11.5,16,2809.00,healthy
P0095,SUP005,405,132,16.61,15,5409.00,healthy
P0096,SUP003,246,122,17.51,16,3608.00,healthy
P0097,SUP012,277,145,16.13,13,3023.50,healthy
P0098,SUP004,338,135,16.94,9,2140.10,healthy
P0099,SUP012,191,44,6.29,8,1590.00,healthy
P0100,SUP006,180,77,12.96,18,2855.80,healthy
