order_id,order_item_id,product_id,seller_id,quantity,price_bdt,freight_value_bdt,shipping_limit_days
O000001,1,P0021,S0019,1,867.80,30.34,3
O000001,2,P0024,S0026,3,12143.40,30.45,6
O000002,1,P0038,S0030,2,8312.60,30.57,2
O000002,2,P0041,S0037,1,7477.10,30.68,5
O000003,1,P0055,S0001,3,4906.80,30.80,1
O000003,2,P0058,S0008,2,12397.00,30.91,4
O000004,1,P0072,S0012,1,5081.80,31.03,10
O000004,2,P0075,S0019,3,1091.40,31.14,3
O000005,1,P0089,S0023,2,15654.80,31.26,9
O000006,1,P0006,S0034,3,7844.10,31.49,8
O000007,1,P0023,S0005,1,6614.10,31.72,7
O000008,1,P0040,S0016,2,8012.40,31.95,6
O000009,1,P0057,S0027,3,19202.10,32.18,5
O000010,1,P0074,S0038,1,3489.30,32.41,4
O000011,1,P0091,S0009,2,15240.00,32.64,3
O000012,1,P0008,S0020,3,14160.90,32.87,2
O000013,1,P0025,S0031,1,7444.70,33.10,1
O000014,1,P0042,S0002,2,11330.00,33.33,10
O000015,1,P0059,S0013,3,23185.50,33.56,9
O000015,2,P0062,S0020,2,15434.00,33.67,2
O000016,1,P0076,S0024,1,7854.30,33.79,8
O000016,2,P0079,S0031,3,19341.90,33.90,1
O000017,1,P0093,S0035,2,5220.20,34.02,7
O000017,2,P0096,S0002,1,6005.70,34.13,10
O000018,1,P0010,S0006,3,17217.90,34.25,6
O000018,2,P0013,S0013,2,9406.40,34.36,9
O000019,1,P0027,S0017,1,2991.90,34.48,5
O000020,1,P0044,S0028,2,735.20,34.71,4
O000021,1,P0061,S0039,3,19173.00,34.94,3
O000022,1,P0078,S0010,1,4868.50,35.17,2
O000023,1,P0095,S0021,2,15256.40,35.40,1
O000024,1,P0012,S0032,3,6172.50,35.63,10
O000025,1,P0029,S0003,1,7000.60,35.86,9
O000026,1,P0046,S0014,2,16490.00,36.09,8
O000027,1,P0063,S0025,3,11558.40,36.32,7
O000028,1,P0080,S0036,1,2826.60,36.55,6
O000029,1,P0097,S0007,2,9544.60,36.78,5
O000029,2,P0100,S0014,1,4801.00,36.89,8
O000030,1,P0014,S0018,3,25243.80,37.01,4
O000030,2,P0017,S0025,2,15120.40,37.12,7
O000031,1,P0031,S0029,1,5972.40,37.24,3
O000031,2,P0034,S0036,3,1225.80,37.35,6
O000032,1,P0048,S0040,2,14576.80,37.47,2
O000032,2,P0051,S0007,1,6187.00,37.58,5
O000033,1,P0065,S0011,3,20123.70,37.70,1
O000034,1,P0082,S0022,1,4206.50,37.93,10
O000035,1,P0099,S0033,2,5567.40,38.16,9
O000036,1,P0016,S0004,3,22477.20,38.39,8
O000037,1,P0033,S0015,1,871.80,38.62,7
O000038,1,P0050,S0026,2,11415.20,38.85,6
O000039,1,P0067,S0037,3,23653.80,39.08,5
O000040,1,P0084,S0008,1,2180.80,39.31,4
O000041,1,P0001,S0019,2,2514.60,39.54,3
O000042,1,P0018,S0030,3,19265.10,39.77,2
O000043,1,P0035,S0001,1,927.50,40.00,1
O000043,2,P0038,S0008,3,12468.90,40.11,4
O000044,1,P0052,S0012,2,11221.60,40.23,10
O000044,2,P0055,S0019,1,1635.60,40.34,3
O000045,1,P0069,S0023,3,9599.10,40.46,9
O000045,2,P0072,S0030,2,10163.60,40.57,2
O000046,1,P0086,S0034,1,1934.60,40.69,8
O000046,2,P0089,S0001,3,23482.20,40.80,1
O000047,1,P0003,S0005,2,4263.80,40.92,7
O000047,2,P0006,S0012,1,2614.70,41.03,10
O000048,1,P0020,S0016,3,22104.00,41.15,6
O000049,1,P0037,S0027,1,1901.80,41.38,5
O000050,1,P0054,S0038,2,5022.80,41.61,4
O000051,1,P0071,S0009,3,13505.10,41.84,3
O000052,1,P0088,S0020,1,6903.50,42.07,2
O000053,1,P0005,S0031,2,13893.80,42.30,1
O000054,1,P0022,S0002,3,22096.20,42.53,10
O000055,1,P0039,S0013,1,3115.30,42.76,9
O000056,1,P0056,S0024,2,5579.80,42.99,8
O000057,1,P0073,S0035,3,9501.90,43.22,7
