order_id,payment_sequential,payment_type,payment_installments,payment_value_bdt
O000001,1,bkash,6,1637.31
O000002,1,bkash,5,1774.62
O000003,1,bkash,4,1911.93
O000004,1,nagad,3,2048.24
O000005,1,cash_on_delivery,1,2185.55
O000006,1,cash_on_delivery,1,2322.86
O000007,1,credit_card,6,2459.17
O000008,1,bkash,5,2596.48
O000009,1,bkash,4,2733.79
O000010,1,bkash,3,2870.10
O000011,1,nagad,2,3007.41
O000012,1,nagad,1,3144.72
O000013,1,cash_on_delivery,1,3281.03
O000014,1,cash_on_delivery,1,3418.34
O000015,1,bank_transfer,4,3555.65
O000016,1,bkash,3,3692.96
O000017,1,bkash,2,3829.27
O000018,1,bkash,1,3966.58
O000019,1,nagad,6,4103.89
O000020,1,nagad,5,4240.20
O000021,1,cash_on_delivery,1,4377.51
O000022,1,credit_card,3,4514.82
O000023,1,bank_transfer,2,4651.13
O000024,1,bkash,1,4788.44
O000025,1,bkash,6,4925.75
O000026,1,bkash,5,5062.06
O000027,1,nagad,4,5199.37
O000028,1,nagad,3,5336.68
O000029,1,cash_on_delivery,1,5473.99
O000030,1,credit_card,1,5610.30
O000031,1,bkash,6,5747.61
O000032,1,bkash,5,5884.92
O000033,1,bkash,4,6021.23
O000034,1,nagad,3,6158.54
O000035,1,nagad,2,6295.85
O000036,1,cash_on_delivery,1,6432.16
O000037,1,cash_on_delivery,1,6569.47
O000038,1,credit_card,5,6706.78
O000039,1,bkash,4,6843.09
O000040,1,bkash,3,6980.40
O000041,1,bkash,2,7117.71
O000042,1,nagad,1,7254.02
O000043,1,nagad,6,7391.33
O000044,1,cash_on_delivery,1,7528.64
O000045,1,credit_card,4,7665.95
O000046,1,bank_transfer,3,7802.26
O000047,1,bkash,2,7939.57
O000048,1,bkash,1,8076.88
O000049,1,bkash,6,8213.19
O000050,1,nagad,5,8350.50
O000051,1,nagad,4,8487.81
O000052,1,cash_on_delivery,1,8624.12
O000053,1,credit_card,2,8761.43
O000054,1,bkash,1,8898.74
O000055,1,bkash,6,9035.05
O000056,1,bkash,5,9172.36
O000057,1,nagad,4,9309.67
O000058,1,nagad,3,9446.98
O000059,1,cash_on_delivery,1,1583.29
O000060,1,cash_on_delivery,1,1720.60
O000061,1,credit_card,6,1857.91
O000062,1,bkash,5,1994.22
O000063,1,bkash,4,2131.53
O000064,1,bkash,3,2268.84
O000065,1,nagad,2,2405.15
O000066,1,nagad,1,2542.46
O000067,1,cash_on_delivery,1,2679.77
O000068,1,cash_on_delivery,1,2816.08
O000069,1,bank_transfer,4,2953.39
O000070,1,bkash,3,3090.70
O000071,1,bkash,2,3227.01
O000072,1,bkash,1,3364.32
O000073,1,nagad,6,3501.63
O000074,1,nagad,5,3638.94
O000075,1,cash_on_delivery,1,3775.25
O000076,1,credit_card,3,3912.56
O000077,1,bkash,2,4049.87
O000078,1,bkash,1,4186.18
O000079,1,bkash,6,4323.49
O000080,1,nagad,5,4460.80
O000081,1,nagad,4,4597.11
O000082,1,cash_on_delivery,1,4734.42
O000083,1,cash_on_delivery,1,4871.73
O000084,1,credit_card,1,5008.04
O000085,1,bkash,6,5145.35
O000086,1,bkash,5,5282.66
O000087,1,bkash,4,5419.97
O000088,1,nagad,3,5556.28
O000089,1,nagad,2,5693.59
O000090,1,cash_on_delivery,1,5830.90
O000091,1,cash_on_delivery,1,5967.21
O000092,1,bank_transfer,5,6104.52
O000093,1,bkash,4,6241.83
O000094,1,bkash,3,6378.14
O000095,1,bkash,2,6515.45
O000096,1,nagad,1,6652.76
O000097,1,nagad,6,6789.07
O000098,1,cash_on_delivery,1,6926.38
O000099,1,credit_card,4,7063.69
O000100,1,bkash,3,7200.00
O000101,1,bkash,2,7337.31
O000102,1,bkash,1,7474.62
O000103,1,bkash,6,7611.93
O000104,1,nagad,5,7748.24
O000105,1,cash_on_delivery,1,7885.55
O000106,1,cash_on_delivery,1,8022.86
O000107,1,credit_card,2,8159.17
O000108,1,bkash,1,8296.48
O000109,1,bkash,6,8433.79
O000110,1,bkash,5,8570.10
O000111,1,nagad,4,8707.41
O000112,1,nagad,3,8844.72
O000113,1,cash_on_delivery,1,8981.03
O000114,1,cash_on_delivery,1,9118.34
O000115,1,bank_transfer,6,9255.65
O000116,1,bkash,5,9392.96
O000117,1,bkash,4,1529.27
O000118,1,bkash,3,1666.58
O000119,1,nagad,2,1803.89
O000120,1,nagad,1,1940.20
O000121,1,cash_on_delivery,1,2077.51
O000122,1,credit_card,5,2214.82
O000123,1,bank_transfer,4,2351.13
O000124,1,bkash,3,2488.44
O000125,1,bkash,2,2625.75
O000126,1,bkash,1,2762.06
O000127,1,nagad,6,2899.37
O000128,1,nagad,5,3036.68
O000129,1,cash_on_delivery,1,3173.99
O000130,1,credit_card,3,3310.30
O000131,1,bkash,2,3447.61
O000132,1,bkash,1,3584.92
O000133,1,bkash,6,3721.23
O000134,1,nagad,5,3858.54
O000135,1,nagad,4,3995.85
O000136,1,cash_on_delivery,1,4132.16
O000137,1,cash_on_delivery,1,4269.47
O000138,1,credit_card,1,4406.78
O000139,1,bkash,6,4543.09
O000140,1,bkash,5,4680.40
O000141,1,bkash,4,4817.71
O000142,1,nagad,3,4954.02
