seller_id,seller_city,seller_state
S0001,Dhaka,DHA
S0002,Chittagong,CTG
S0003,Sylhet,SYL
S0004,Khulna,KHU
S0005,Rajshahi,RAJ
S0006,Barisal,BAR
S0007,Rangpur,RAN
S0008,Comilla,COM
S0009,Narayanganj,NAR
S0010,Gazipur,GAZ
S0011,Mymensingh,MYM
S0012,Bogura,BOG
S0013,Tangail,TAN
S0014,Cumilla,CUM
S0015,Cox's Bazar,COX
S0016,Faridpur,FAR
S0017,Jessore,JES
S0018,Pabna,PAB
S0019,Noakhali,NOA
S0020,Chandpur,CHA
S0021,Brahmanbaria,BRA
S0022,Savar,SAV
S0023,Munshiganj,MUN
S0024,Manikganj,MAN
S0025,Narsingdi,NAR
S0026,Dinajpur,DIN
S0027,Thakurgaon,THK
S0028,Habiganj,HAB
S0029,Kishoreganj,KIS
S0030,Moulvibazar,MOU
S0031,Sunamganj,SUN
S0032,Netrokona,NET
S0033,Sherpur,SHE
S0034,Jamalpur,JAM
S0035,Magura,MAG
S0036,Meherpur,MEH
S0037,Natore,NAT
S0038,Naogaon,NAO
S0039,Chapainawabganj,CHA
S0040,Joypurhat,JOY
